"","X1"
"1",317
"2",296
"3",267
"4",2403
"5",386
"6",257
"7",402
"8",528
"9",911
"10",316
"11",245
"12",600
"13",553
"14",2951
"15",737
"16",360
"17",283
"18",1590
"19",362
"20",1329
"21",436
"22",616
"23",987
"24",361
"25",503
"26",337
"27",283
"28",424
"29",421
"30",491
"31",572
"32",430
"33",550
"34",430
"35",503
"36",485
"37",692
"38",417
"39",368
"40",499
"41",472
"42",262
"43",526
"44",251
"45",787
"46",528
"47",967
"48",2181
"49",575
"50",2039
"51",1246
"52",1005
"53",284
"54",544
"55",458
"56",1122
"57",334
"58",314
"59",2635
"60",432
"61",248
"62",278
"63",250
"64",800
"65",657
"66",696
"67",394
"68",322
"69",640
"70",641
"71",384
"72",496
"73",291
"74",668
"75",416
"76",2435
"77",2131
"78",597
"79",537
"80",627
"81",318
"82",1138
"83",451
"84",2361
"85",322
"86",712
"87",317
"88",999
"89",444
"90",414
"91",813
"92",436
"93",283
"94",703
"95",1344
"96",473
"97",396
"98",823
"99",2167
"100",319
"101",296
"102",790
"103",1110
"104",681
"105",3090
"106",422
"107",494
"108",656
"109",449
"110",473
"111",550
"112",369
"113",521
"114",528
"115",554
"116",580
"117",580
"118",588
"119",1122
"120",579
"121",599
"122",595
"123",604
"124",619
"125",445
"126",272
"127",2755
"128",576
"129",574
"130",335
"131",363
"132",258
"133",240
"134",496
"135",552
"136",351
"137",671
"138",241
"139",486
"140",1638
"141",1604
"142",402
"143",1071
"144",337
"145",1570
"146",414
"147",363
"148",1280
"149",663
"150",323
"151",3468
"152",1003
"153",1941
"154",346
"155",421
"156",793
"157",543
"158",396
"159",1027
"160",573
"161",851
"162",528
"163",363
"164",323
"165",513
"166",662
"167",663
"168",496
"169",300
"170",261
"171",1844
"172",298
"173",278
"174",481
"175",1157
"176",1505
"177",427
"178",2886
"179",625
"180",618
"181",496
"182",720
"183",364
"184",2724
"185",1929
"186",1184
"187",641
"188",2199
"189",261
"190",682
"191",1270
"192",2906
"193",288
"194",1535
"195",320
"196",722
"197",1091
"198",556
"199",443
"200",382
"201",1135
"202",735
"203",268
"204",1102
"205",247
"206",244
"207",419
"208",458
"209",368
"210",551
"211",664
"212",762
"213",402
"214",930
"215",275
"216",847
"217",428
"218",2719
"219",262
"220",704
"221",1544
"222",506
"223",510
"224",427
"225",489
"226",263
"227",674
"228",402
"229",2945
"230",463
"231",249
"232",361
"233",549
"234",544
"235",453
"236",2825
"237",254
"238",302
"239",537
"240",545
"241",376
"242",325
"243",713
"244",831
"245",479
"246",558
"247",424
"248",708
"249",496
"250",542
"251",540
"252",536
"253",549
"254",620
"255",467
"256",406
"257",690
"258",709
"259",1403
"260",539
"261",637
"262",581
"263",344
"264",336
"265",3644
"266",4020
"267",433
"268",768
"269",419
"270",312
"271",261
"272",1552
"273",340
"274",277
"275",502
"276",499
"277",369
"278",442
"279",2097
"280",683
"281",830
"282",604
"283",610
"284",2142
"285",296
"286",277
"287",294
"288",352
"289",2185
"290",2658
"291",2810
"292",435
"293",293
"294",803
"295",416
"296",289
"297",445
"298",1043
"299",1727
"300",374
"301",505
"302",254
"303",364
"304",438
"305",713
"306",633
"307",627
"308",591
"309",450
"310",597
"311",4105
"312",558
"313",561
"314",559
"315",569
"316",564
"317",559
"318",563
"319",562
"320",571
"321",450
"322",271
"323",393
"324",3128
"325",1172
"326",252
"327",782
"328",1805
"329",1812
"330",280
"331",316
"332",407
"333",587
"334",451
"335",798
"336",371
"337",709
"338",287
"339",648
"340",1163
"341",600
"342",543
"343",524
"344",687
"345",780
"346",621
"347",3000
"348",735
"349",649
"350",654
"351",715
"352",451
"353",475
"354",427
"355",264
"356",529
"357",824
"358",368
"359",512
"360",403
"361",2989
"362",802
"363",282
"364",336
"365",247
"366",738
"367",278
"368",793
"369",688
"370",283
"371",257
"372",468
"373",747
"374",570
"375",592
"376",601
"377",618
"378",616
"379",572
"380",621
"381",541
"382",319
"383",452
"384",331
"385",304
"386",356
"387",824
"388",263
"389",553
"390",263
"391",451
"392",339
"393",612
"394",539
"395",260
"396",278
"397",543
"398",386
"399",1016
"400",761
"401",298
"402",451
"403",575
"404",289
"405",363
"406",469
"407",628
"408",353
"409",719
"410",290
"411",297
"412",611
"413",522
"414",546
"415",477
"416",2031
"417",1073
"418",251
"419",1062
"420",921
"421",982
"422",340
"423",537
"424",266
"425",1231
"426",441
"427",573
"428",500
"429",507
"430",372
"431",624
"432",494
"433",800
"434",944
"435",3122
"436",400
"437",360
"438",356
"439",3046
"440",530
"441",1717
"442",1092
"443",371
"444",919
"445",585
"446",286
"447",254
"448",725
"449",252
"450",2923
"451",493
"452",482
"453",486
"454",486
"455",502
"456",498
"457",488
"458",486
"459",491
"460",499
"461",498
"462",493
"463",492
"464",484
"465",494
"466",497
"467",499
"468",491
"469",481
"470",488
"471",491
"472",506
"473",505
"474",492
"475",488
"476",495
"477",504
"478",507
"479",497
"480",490
"481",498
"482",499
"483",509
"484",503
"485",500
"486",365
"487",634
"488",566
"489",433
"490",503
"491",516
"492",508
"493",502
"494",504
"495",509
"496",508
"497",505
"498",370
"499",655
"500",366
"501",626
"502",505
"503",435
"504",775
"505",332
"506",471
"507",529
"508",606
"509",257
"510",720
"511",690
"512",687
"513",693
"514",639
"515",253
"516",2127
"517",731
"518",598
"519",937
"520",1802
"521",315
"522",289
"523",694
"524",346
"525",876
"526",608
"527",678
"528",399
"529",558
"530",249
"531",1050
"532",403
"533",433
"534",406
"535",240
"536",389
"537",266
"538",545
"539",2043
"540",554
"541",358
"542",1090
"543",1194
"544",733
"545",535
"546",1484
"547",538
"548",592
"549",544
"550",582
"551",466
"552",771
"553",619
"554",334
"555",409
"556",357
"557",615
"558",430
"559",278
"560",494
"561",590
"562",562
"563",546
"564",504
"565",539
"566",2507
"567",854
"568",657
"569",546
"570",248
"571",320
"572",606
"573",704
"574",2559
"575",532
"576",579
"577",326
"578",264
"579",414
"580",538
"581",488
"582",389
"583",507
"584",373
"585",531
"586",518
"587",762
"588",535
"589",515
"590",458
"591",274
"592",585
"593",636
"594",411
"595",611
"596",569
"597",1136
"598",1051
"599",509
"600",510
"601",381
"602",336
"603",424
"604",1043
"605",419
"606",507
"607",444
"608",1002
"609",1318
"610",619
"611",524
"612",366
"613",559
"614",424
"615",1360
"616",2748
"617",522
"618",542
"619",518
"620",532
"621",527
"622",535
"623",519
"624",610
"625",436
"626",1077
"627",515
"628",520
"629",517
"630",533
"631",548
"632",531
"633",406
"634",680
"635",419
"636",548
"637",685
"638",535
"639",565
"640",535
"641",551
"642",417
"643",550
"644",669
"645",648
"646",465
"647",552
"648",535
"649",533
"650",307
"651",1307
"652",539
"653",547
"654",532
"655",533
"656",521
"657",544
"658",404
"659",533
"660",532
"661",668
"662",626
"663",627
"664",487
"665",473
"666",436
"667",728
"668",314
"669",322
"670",335
"671",465
"672",293
"673",250
"674",321
"675",799
"676",264
"677",319
"678",734
"679",635
"680",340
"681",281
"682",274
"683",373
"684",1243
"685",686
"686",667
"687",2054
"688",868
"689",518
"690",517
"691",279
"692",373
"693",365
"694",301
"695",559
"696",388
"697",384
"698",642
"699",692
"700",545
"701",521
"702",575
"703",283
"704",501
"705",341
"706",1114
"707",553
"708",589
"709",595
"710",596
"711",629
"712",583
"713",422
"714",513
"715",706
"716",334
"717",282
"718",261
"719",252
"720",280
"721",993
"722",536
"723",284
"724",528
"725",320
"726",431
"727",354
"728",595
"729",669
"730",330
"731",874
"732",796
"733",1428
"734",353
"735",288
"736",550
"737",609
"738",451
"739",737
"740",732
"741",465
"742",563
"743",396
"744",252
"745",530
"746",648
"747",507
"748",634
"749",620
"750",649
"751",1410
"752",275
"753",578
"754",741
"755",315
"756",462
"757",566
"758",3079
"759",597
"760",1076
"761",724
"762",3184
"763",545
"764",560
"765",557
"766",556
"767",557
"768",554
"769",563
"770",555
"771",558
"772",556
"773",563
"774",558
"775",560
"776",568
"777",565
"778",562
"779",572
"780",740
"781",371
"782",683
"783",433
"784",558
"785",559
"786",561
"787",562
"788",562
"789",564
"790",564
"791",567
"792",564
"793",565
"794",352
"795",775
"796",567
"797",560
"798",326
"799",456
"800",346
"801",566
"802",563
"803",558
"804",561
"805",558
"806",564
"807",561
"808",558
"809",561
"810",560
"811",563
"812",561
"813",561
"814",559
"815",570
"816",563
"817",566
"818",569
"819",569
"820",571
"821",571
"822",580
"823",570
"824",570
"825",569
"826",257
"827",319
"828",568
"829",567
"830",569
"831",568
"832",567
"833",567
"834",568
"835",566
"836",567
"837",573
"838",569
"839",558
"840",564
"841",563
"842",301
"843",255
"844",558
"845",559
"846",564
"847",561
"848",561
"849",562
"850",565
"851",561
"852",563
"853",559
"854",249
"855",3152
"856",574
"857",575
"858",582
"859",361
"860",808
"861",585
"862",580
"863",579
"864",575
"865",573
"866",572
"867",577
"868",581
"869",577
"870",585
"871",590
"872",588
"873",588
"874",593
"875",587
"876",590
"877",588
"878",582
"879",586
"880",584
"881",481
"882",1271
"883",264
"884",1449
"885",1734
"886",578
"887",586
"888",585
"889",589
"890",587
"891",591
"892",591
"893",589
"894",583
"895",588
"896",587
"897",584
"898",585
"899",591
"900",591
"901",588
"902",585
"903",589
"904",591
"905",588
"906",584
"907",594
"908",590
"909",586
"910",586
"911",591
"912",589
"913",432
"914",546
"915",676
"916",592
"917",585
"918",586
"919",582
"920",588
"921",585
"922",576
"923",579
"924",574
"925",579
"926",579
"927",579
"928",582
"929",583
"930",584
"931",585
"932",582
"933",586
"934",583
"935",583
"936",582
"937",584
"938",580
"939",577
"940",583
"941",585
"942",593
"943",586
"944",592
"945",588
"946",596
"947",588
"948",591
"949",591
"950",596
"951",600
"952",606
"953",618
"954",614
"955",617
"956",616
"957",620
"958",611
"959",606
"960",608
"961",607
"962",607
"963",601
"964",602
"965",604
"966",610
"967",603
"968",605
"969",608
"970",605
"971",610
"972",604
"973",601
"974",608
"975",602
"976",600
"977",599
"978",602
"979",600
"980",600
"981",599
"982",602
"983",602
"984",600
"985",603
"986",606
"987",604
"988",601
"989",604
"990",605
"991",603
"992",602
"993",599
"994",598
"995",600
"996",600
"997",593
"998",596
"999",597
"1000",598
"1001",589
"1002",596
"1003",595
"1004",596
"1005",592
"1006",596
"1007",591
"1008",598
"1009",596
"1010",597
"1011",597
"1012",599
"1013",603
"1014",599
"1015",599
"1016",599
"1017",603
"1018",598
"1019",599
"1020",593
"1021",600
"1022",594
"1023",597
"1024",589
"1025",599
"1026",595
"1027",596
"1028",595
"1029",606
"1030",593
"1031",598
"1032",600
"1033",601
"1034",598
"1035",597
"1036",597
"1037",597
"1038",601
"1039",590
"1040",597
"1041",598
"1042",600
"1043",598
"1044",597
"1045",599
"1046",603
"1047",600
"1048",600
"1049",602
"1050",603
"1051",600
"1052",602
"1053",598
"1054",600
"1055",596
"1056",593
"1057",591
"1058",596
"1059",587
"1060",589
"1061",591
"1062",589
"1063",593
"1064",588
"1065",594
"1066",591
"1067",595
"1068",589
"1069",596
"1070",596
"1071",589
"1072",595
"1073",587
"1074",584
"1075",583
"1076",586
"1077",584
"1078",584
"1079",590
"1080",585
"1081",585
"1082",583
"1083",583
"1084",585
"1085",588
"1086",593
"1087",587
"1088",595
"1089",597
"1090",594
"1091",594
"1092",597
"1093",593
"1094",605
"1095",595
"1096",597
"1097",598
"1098",599
"1099",596
"1100",589
"1101",597
"1102",598
"1103",593
"1104",592
"1105",595
"1106",594
"1107",601
"1108",597
"1109",598
"1110",598
"1111",598
"1112",594
"1113",591
"1114",588
"1115",587
"1116",581
"1117",585
"1118",586
"1119",586
"1120",589
"1121",594
"1122",593
"1123",596
"1124",591
"1125",590
"1126",586
"1127",587
"1128",587
"1129",587
"1130",587
"1131",589
"1132",596
"1133",595
"1134",592
"1135",599
"1136",600
"1137",600
"1138",775
"1139",323
"1140",3697
"1141",600
"1142",600
"1143",602
"1144",598
"1145",601
"1146",600
"1147",602
"1148",602
"1149",611
"1150",603
"1151",602
"1152",600
"1153",601
"1154",601
"1155",599
"1156",599
"1157",296
"1158",301
"1159",587
"1160",336
"1161",262
"1162",587
"1163",590
"1164",588
"1165",588
"1166",592
"1167",588
"1168",590
"1169",594
"1170",596
"1171",590
"1172",604
"1173",595
"1174",768
"1175",429
"1176",1201
"1177",602
"1178",606
"1179",601
"1180",605
"1181",601
"1182",601
"1183",597
"1184",595
"1185",593
"1186",594
"1187",594
"1188",593
"1189",593
"1190",593
"1191",592
"1192",594
"1193",594
"1194",592
"1195",592
"1196",584
"1197",586
"1198",591
"1199",585
"1200",588
"1201",589
"1202",595
"1203",598
"1204",601
"1205",606
"1206",611
"1207",611
"1208",608
"1209",614
"1210",615
"1211",612
"1212",609
"1213",612
"1214",606
"1215",609
"1216",602
"1217",601
"1218",598
"1219",588
"1220",587
"1221",589
"1222",585
"1223",583
"1224",585
"1225",582
"1226",587
"1227",585
"1228",585
"1229",581
"1230",586
"1231",582
"1232",584
"1233",583
"1234",591
"1235",591
"1236",596
"1237",598
"1238",596
"1239",601
"1240",597
"1241",601
"1242",595
"1243",597
"1244",594
"1245",593
"1246",597
"1247",602
"1248",601
"1249",601
"1250",603
"1251",608
"1252",606
"1253",611
"1254",601
"1255",614
"1256",612
"1257",610
"1258",612
"1259",614
"1260",608
"1261",608
"1262",605
"1263",601
"1264",602
"1265",598
"1266",602
"1267",599
"1268",600
"1269",609
"1270",604
"1271",611
"1272",607
"1273",611
"1274",606
"1275",606
"1276",603
"1277",602
"1278",600
"1279",600
"1280",588
"1281",598
"1282",591
"1283",592
"1284",585
"1285",584
"1286",588
"1287",587
"1288",588
"1289",586
"1290",593
"1291",592
"1292",597
"1293",596
"1294",599
"1295",602
"1296",604
"1297",605
"1298",607
"1299",608
"1300",611
"1301",613
"1302",605
"1303",612
"1304",604
"1305",603
"1306",598
"1307",602
"1308",597
"1309",597
"1310",588
"1311",594
"1312",589
"1313",593
"1314",592
"1315",594
"1316",599
"1317",600
"1318",604
"1319",603
"1320",609
"1321",606
"1322",609
"1323",605
"1324",609
"1325",602
"1326",595
"1327",597
"1328",596
"1329",600
"1330",598
"1331",602
"1332",609
"1333",616
"1334",612
"1335",622
"1336",622
"1337",629
"1338",621
"1339",629
"1340",623
"1341",630
"1342",621
"1343",627
"1344",622
"1345",625
"1346",618
"1347",621
"1348",623
"1349",620
"1350",619
"1351",621
"1352",625
"1353",618
"1354",619
"1355",619
"1356",617
"1357",616
"1358",616
"1359",613
"1360",604
"1361",609
"1362",603
"1363",605
"1364",613
"1365",612
"1366",605
"1367",605
"1368",613
"1369",614
"1370",604
"1371",609
"1372",605
"1373",605
"1374",599
"1375",608
"1376",603
"1377",612
"1378",603
"1379",614
"1380",616
"1381",619
"1382",614
"1383",619
"1384",617
"1385",620
"1386",619
"1387",625
"1388",621
"1389",629
"1390",621
"1391",630
"1392",622
"1393",628
"1394",619
"1395",622
"1396",626
"1397",619
"1398",615
"1399",617
"1400",616
"1401",615
"1402",604
"1403",615
"1404",614
"1405",614
"1406",606
"1407",611
"1408",610
"1409",617
"1410",621
"1411",618
"1412",618
"1413",618
"1414",620
"1415",615
"1416",618
"1417",617
